SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
base	 cavity	 T1 values of non-infarcted myocardium increased significantly from apex to base (from 523.1±99.5 ms to 561.1±81.1 ms, p=0.001), and were accompanied by a similar increase in blood T1 value in LV cavity (from 442.1±120.7 ms to 456.8±97.5 ms, p<0.001) over time.	base  (from 523.1±99.5 ms to 561.1±81.1 ms, p=0.001), and were accompanied by a similar increase in blood T1 value in L cavity	 	no_rel
malaria	 pyrimethamine	 Monthly artesunate plus amodiaquine reduced the incidence of malaria by 69% (95% CI 63%, 74%) and anaemia by 45% (95% CI 25%,60%), bimonthly sulphadoxine-pyrimethamine reduced the incidence of malaria by 24% (95% CI 14%,33%) and anaemia by 30% (95% CI 6%, 49%) and bimonthly artesunate plus amodiaquine reduced the incidence of malaria by 17% (95% CI 6%, 27%) and anaemia by 32% (95% CI 7%, 50%) compared to placebo.	malaria  by 69% (95% CI 63%, 74%) and anaemia by 45% (95% CI 25%,60%), bimonthly sulphadoxine-py pyrimethamine	 may_prevent	yes
ADHD	 atomoxetine	 An otherwise healthy 27-year-old female with a history of attention deficit hyperactivity disorder (ADHD) treated with atomoxetine had an acute onset tonic-clonic seizure.	ADHD ) treated with  atomoxetine	 may_treat	yes
hydroxypropyl methylcellulose	 insulin resistance	 This study examined the effect of chronic consumption of the viscous, non-fermentable dietary fiber, hydroxypropyl methylcellulose (HPMC), on glucose control, insulin resistance and liver lipids in an obese diabetic rat model.	hydroxypropyl methylcellulose  (HPMC), on glucose control,  insulin resistance	 	no_rel
virus	 vaccines	 However, these vaccines did not induce an HAI response against the clade 2.2 virus, WS/05.	 vaccines did not induce an HAI response against the clade 2.2 virus	 	no_rel
hyperglycemia	 insulin	 Mortality was higher in very preterm infants with hyperglycemia treated with insulin during the neonatal period.	hyperglycemia  treated with  insulin	 may_treat	yes
hyperglycemia	 insulin	 To determine whether an electronic order template for basal-bolus insulin ordering improves mean blood glucose in hospitalized general medical patients with hyperglycemia and type 2 diabetes.	 insulin ordering improves mean blood glucose in hospitalized general medical patients with hyperglycemia	 may_treat	yes
UC	 Nitric oxide	 The possible molecular mechanism mediating this immunosuppressive effect of UC-MSCs was explored by addition of inhibitors to indoleamine 2,3-dioxygenase (IDO), Nitric oxide (NO), prostaglandin E2 (PGE2), transforming growth factor β1 (TGF-β1) and interleukin 10 (IL-10).	UC -MSCs was explored by addition of inhibitors to indoleamine 2,3-dioxygenase (IDO),  Nitric oxide	 	no_rel
spasticity	 baclofen	 Intrathecally administered baclofen, delivered by an implantable pump system, is widely used for the treatment of refractory spasticity.	 baclofen  delivered by an implantable pump system, is widely used for the treatment of refractory spasticity	 may_treat	yes
ROP	 oxygen	 In this study of rats with oxygen-induced retinopathy (OIR) models of ROP, mRNA expression of vascular endothelial growth factor ( VEGF ), semaphorin ( Sema ), and their neuropilin receptor ( NRP ) were examined during the course of retinopathy to evaluate their roles in the observed neurovascular congruency.	 oxygen induced retinopathy (OIR) models of ROP	 induces	no
OA	 analgesic	 The effects of an analgesic treatment (lidocaine patches) on brain activity in chronic low back pain (CBP) and in knee osteoarthritis (OA) were investigated using serial fMRI (contrasting fMRI between before and after two weeks of treatment).	 analgesic treatment (lidocaine patches) on brain activity in chronic low back pain (CBP) and in knee osteoarthritis (OA	 	no_rel
speed	 retinal detachment	 To compare anatomical, functional outcomes and complications of high-speed 25-gauge (G) pars plana vitrectomy (PPV) versus 20-G PPV for the management of primary inferior rhegmatogenous retinal detachment (RRD) associated to inferior breaks/holes.	speed  25-gauge (G) pars plana vitrectomy (PPV) versus 20-G PPV for the management of primary inferior rhegmatogenous  retinal detachment	 	no_rel
pain	 lidocaine	 After 5% lidocaine patches were applied to the painful body part for two weeks, CBP patients exhibited a significant decrease in clinical pain measures, while in OA clinical questionnaire based outcomes showed no treatment effect but stimulus evoked pain showed a borderline decrease.	 lidocaine patches were applied to the painful body part for two weeks, CBP patients exhibited a significant decrease in clinical pain	 may_prevent	yes
fungal infections	 terbinafine	 Since terbinafine was introduced on the world market 17 years ago, it has become the leading antifungal for the treatment of superficial fungal infections, aided by unique pharmacologic and microbiologic profiles.	 terbinafine was introduced on the world market 17 years ago, it has become the leading antifungal for the treatment of superficial fungal infections	 may_prevent	yes
erythropoietin	 renal insufficiency	 The pathophysiology of anemia is multifactorial and related to various factors including; hemodilution, iron losses from anti-platelet drugs, activation of the inflammatory cascade, urinary losses of erythropoietin and associated renal insufficiency.	erythropoietin  and associated  renal insufficiency	 	no_rel
metal	 osteoarthritis	 Metal-on-metal hip resurfacing arthroplasty (MoM HRA) may offer potential advantages over total hip arthroplasty (THA) for certain patients with advanced osteoarthritis of the hip.	metal  hip resurfacing arthroplasty (MoM HRA) may offer potential advantages over total hip arthroplasty (THA) for certain patients with advanced  osteoarthritis	 	no_rel
JIA	 methotrexate	 The purpose of this study was to measure the impact of an educational intervention on parents of children taking methotrexate (MTX) for juvenile idiopathic arthritis (JIA).	 methotrexate (MTX) for juvenile idiopathic arthritis (JIA	 may_treat	yes
iron deficiency	 iron	 To investigate the impact of iron deficiency on bioenergetic pathways in Chlamydomonas, we compared growth rates, iron content, and photosynthetic parameters systematically in acetate versus CO2-grown cells.	iron deficiency  on bioenergetic pathways in Chlamydomonas, we compared growth rates,  iron	 may_treat	yes
schizophrenia	 olanzapine	 An advance in the treatment of schizophrenia is the development of long-acting intramuscular formulations of antipsychotics, such as olanzapine long-acting injection (LAI).	schizophrenia  is the development of long-acting intramuscular formulations of antipsychotics, such as  olanzapine	 may_treat	yes
tuberculosis	 BCG	 In order to analyze dendritic cells (DCs) activation following infection with different mycobacterial strains, we studied the expression profiles of 165 genes of human monocyte-derived DCs infected with H37Rv, a virulent Mycobacterium tuberculosis (MTB) laboratory strain, CMT97, a clinical MTB isolate, Mycobacterium bovis bacillus Calmette-Guérin (BCG), Aventis Pasteur, and BCG Japan, both employed as vaccine against tuberculosis.	 BCG  Japan, both employed as vaccine againsttuberculosis	 contraindicated_with_disease	no
HIV seropositive	 HIV	 Of the TB suspects, 298 (58.9%) of them were tested for HIV and 27.2% (81/298) were HIV seropositive.	 HIV and 27.2% (81/298) were HIV seropositive	 causative_agent_of	no
malaria	 pyrimethamine	 Malaria is the infectious disease causing the highest morbidity and mortality in Angola and due to widespread chloroquine (CQ) resistance, the country has recently changed its first-line treatment recommendations for uncomplicated malaria, from CQ to artemisinin combination therapies (ACT) in adults, and sulphadoxine/pyrimethamine (S/P) in pregnant women.	malaria , from CQ to artemisinin combination therapies (ACT) in adults, and sulphadoxine/ pyrimethamine	 may_prevent	yes
Flu	 influenza virus	 Google Flu Trends was developed to estimate US influenza-like illness (ILI) rates from internet searches; however ILI does not necessarily correlate with actual influenza virus infections.	Flu  Trends was developed to estimate US influenza-like illness (ILI) rates from internet searches; however ILI does not necessarily correlate with actual  influenza virus	 causative_agent_of	no
juvenile idiopathic arthritis	 methotrexate	 The purpose of this study was to measure the impact of an educational intervention on parents of children taking methotrexate (MTX) for juvenile idiopathic arthritis (JIA).	 methotrexate (MTX) for juvenile idiopathic arthritis	 may_treat	yes
iron deficiency	 Fe	 Defective Fe−S cluster synthesis not only affects activities of many iron−sulfur enzymes, such as aconitase and succinate dehydrogenase, but also alters the regulation of cellular iron homeostasis, causing both mitochondrial iron overload and cytosolic iron deficiency.	 Fe ��S cluster synthesis not only affects activities of many iron−sulfur enzymes, such as aconitase and succinate dehydrogenase, but also alters the regulation of cellular iron homeostasis, causing both mitochondrial iron overload and cytosoiron deficiency	 may_prevent	yes
AIDS	 HIV	 Since the 1980s the Majengo Observational Cohort Study (MOCS) has examined sexually transmitted infections, in particular HIV/AIDS, in a cohort of sex workers in Majengo, an impoverished urban village in Nairobi, Kenya.	 HIV AIDS	 causative_agent_of	no
HBV	 adefovir dipivoxil	 In contrast, Th1/Th2 cytokines producing T cells remained lower in one patient detected with adefovir dipivoxil resistant HBV A181T/V mutation.	 adefovir dipivoxil resistant HBV	 may_treat	yes
basic	 fibrosis	 The possibility of extracting RNA and measuring RNA expression from paraffin sections can allow extensive investigations on stored paraffin samples obtained from diseased livers and could help with studies of the natural history of liver fibrosis and inflammation, and in particular, correlate basic mechanisms to clinical outcomes.	 fibrosis and inflammation, and in particular, correlate basic	 	no_rel
type 2 diabetes	 insulin	 RESEARCH DESIGN AND METHODS —A total of 12 obese adolescents with NGT, 19 with IGT, and 17 with type 2 diabetes underwent evaluation of insulin sensitivity (3-h hyperinsulinemic [80mu/m2/min]–euglycemic clamp), first-phase insulin and second-phase insulin secretion (2-h hyperglycemic clamp), body composition, and abdominal adiposity.	type 2 diabetes es underwent evaluation of insulin sensitivity (3-h hyperinsulinemic [80mu/m2/min]–euglycemic clamp), first-ph insulin	 may_treat	yes
